Date,Open,High,Low,Close,Adj Close,Volume
19881102,174.600006,174.600006,172.714996,174.014999,174.014999,243080000
19881103,173.899994,174.675003,173.414993,174.250000,174.250000,234280000
19881104,173.789993,174.774994,172.735001,173.559998,173.559998,211240000
19881107,173.455002,173.455002,171.054993,171.339996,171.339996,202840000
19881108,171.619995,174.395004,171.619995,173.750000,173.750000,226500000
19881109,173.604996,173.720001,172.399994,173.494995,173.494995,220800000
19881110,173.509995,174.080002,172.550003,173.274994,173.274994,211460000
19881111,173.225006,173.225006,169.089996,169.240005,169.240005,219360000
19881114,169.414993,169.979996,167.845001,168.955002,168.955002,201540000
19881115,169.005005,169.574997,167.975006,168.104996,168.104996,223760000
19881116,168.414993,168.500000,165.175003,165.524994,165.524994,255980000
19881117,165.660004,166.634995,165.464996,166.205002,166.205002,280300000
19881118,166.149994,166.759995,165.460007,166.524994,166.524994,206480000
19881121,165.384995,165.384995,162.654999,163.815002,163.815002,223860000
19881122,163.904999,164.720001,163.274994,164.350006,164.350006,234160000
19881123,164.470001,167.485001,164.470001,167.190002,167.190002,207320000
19881125,167.065002,167.065002,165.119995,165.720001,165.720001,100120000
19881128,165.639999,166.455002,164.440002,165.994995,165.994995,187600000
19881129,166.139999,167.300003,165.600006,167.169998,167.169998,209640000
19881130,167.205002,169.490005,167.205002,169.184998,169.184998,250680000
19881201,169.134995,171.820007,168.735001,171.330002,171.330002,246540000
19881202,171.294998,172.639999,170.199997,171.615005,171.615005,250040000
19881205,172.854996,173.955002,172.854996,172.854996,172.854996,237340000
19881206,172.854996,174.014999,171.684998,174.014999,174.014999,232120000
19881207,174.014999,174.244995,172.755005,172.839996,172.839996,244960000
19881208,172.839996,172.904999,171.255005,171.884995,171.884995,219740000
19881209,171.884995,172.259995,171.214996,171.794998,171.794998,227120000
19881212,171.794998,172.615005,170.854996,171.110001,171.110001,198440000
19881213,171.085007,171.085007,169.785004,170.255005,170.255005,228280000
19881214,170.255005,171.544998,170.059998,170.869995,170.869995,235480000
19881215,171.009995,172.190002,171.009995,171.619995,171.619995,223240000
19881216,171.619995,174.244995,171.550003,174.014999,174.014999,266280000
19881219,174.014999,175.684998,173.759995,175.389999,175.389999,262360000
19881220,175.389999,176.820007,174.940002,175.074997,175.074997,277000000
19881221,175.074997,175.529999,173.914993,174.660004,174.660004,274820000
19881222,174.660004,175.119995,173.865005,174.759995,174.759995,306280000
19881223,174.759995,175.940002,174.720001,175.610001,175.610001,155420000
19881227,175.610001,176.429993,174.919998,175.220001,175.220001,161560000
19881228,175.220001,175.240005,174.125000,175.130005,175.130005,210300000
19881229,175.130005,176.985001,175.005005,176.679993,176.679993,242280000
19881230,176.679993,177.860001,176.565002,177.410004,177.410004,273880000
19890103,177.399994,177.399994,172.945007,174.625000,174.625000,187320000
19890104,174.925003,177.845001,174.925003,177.559998,177.559998,242540000
19890105,177.559998,179.250000,177.070007,177.485001,177.485001,270080000
19890106,177.485001,178.514999,177.279999,177.520004,177.520004,247300000
19890109,177.520004,178.570007,176.895004,177.649994,177.649994,219860000
19890110,177.649994,177.759995,176.360001,177.065002,177.065002,227040000
19890111,177.065002,177.824997,176.184998,177.595001,177.595001,231540000
19890112,177.815002,179.445007,177.815002,179.000000,179.000000,270860000
19890113,179.000000,179.414993,178.425003,179.100006,179.100006,245720000
19890116,179.100006,179.835007,178.580002,179.199997,179.199997,210320000
19890117,179.199997,179.199997,176.725006,177.089996,177.089996,275520000
19890118,177.089996,179.059998,176.354996,178.645004,178.645004,281040000
19890119,178.645004,181.615005,178.645004,180.570007,180.570007,324600000
19890120,180.570007,181.320007,179.244995,180.320007,180.320007,304140000
19890123,180.320007,180.729996,178.065002,178.205002,178.205002,228040000
19890124,178.205002,180.550003,177.895004,180.175003,180.175003,265180000
19890125,180.175003,181.880005,180.175003,181.559998,181.559998,243180000
19890126,181.559998,184.110001,180.764999,183.994995,183.994995,283360000
19890127,183.994995,184.585007,182.259995,183.544998,183.544998,352400000
19890130,183.544998,185.009995,183.544998,184.785004,184.785004,247880000
19890131,184.785004,186.690002,183.979996,186.470001,186.470001,274100000
19890201,186.470001,188.639999,186.470001,188.369995,188.369995,305780000
19890202,188.369995,191.130005,188.095001,189.865005,189.865005,327580000
19890203,189.865005,190.639999,188.940002,189.975006,189.975006,286700000
19890206,189.975006,190.289993,188.794998,189.464996,189.464996,256580000
19890207,189.464996,192.994995,189.220001,192.054993,192.054993,313820000
19890208,192.054993,192.634995,189.880005,190.050003,190.050003,305460000
19890209,190.050003,190.479996,188.065002,188.690002,188.690002,293360000
19890210,188.690002,188.690002,185.445007,185.705002,185.705002,265460000
19890213,185.705002,186.175003,184.610001,185.404999,185.404999,228980000
19890214,185.404999,186.934998,185.214996,185.630005,185.630005,265760000
19890215,185.630005,187.434998,185.449997,187.414993,187.414993,246360000
19890216,187.414993,188.345001,187.255005,187.824997,187.824997,298500000
19890217,187.824997,189.440002,187.595001,188.509995,188.509995,228300000
19890221,188.509995,188.860001,187.324997,188.169998,188.169998,230460000
19890222,188.169998,188.169998,184.675003,185.759995,185.759995,259040000
19890223,185.759995,186.764999,184.330002,186.470001,186.470001,233720000
19890224,186.470001,186.794998,184.345001,184.589996,184.589996,245820000
19890227,184.589996,184.630005,183.240005,183.815002,183.815002,218800000
19890228,183.815002,185.035004,183.229996,183.789993,183.789993,244420000
19890301,183.789993,185.464996,183.335007,183.600006,183.600006,257460000
19890302,183.600006,185.544998,183.600006,185.460007,185.460007,258980000
19890303,185.460007,186.160004,184.934998,185.815002,185.815002,271980000
19890306,185.815002,187.580002,185.815002,187.505005,187.505005,244420000
19890307,187.505005,187.529999,185.639999,186.699997,186.699997,271860000
19890308,186.699997,187.684998,185.925003,186.255005,186.255005,300280000
19890309,186.255005,186.414993,185.104996,185.350006,185.350006,284120000
19890310,185.350006,185.660004,184.179993,184.994995,184.994995,266740000
19890313,184.994995,186.389999,184.574997,185.880005,185.880005,236760000
19890314,185.880005,186.535004,185.024994,185.354996,185.354996,275220000
19890315,185.354996,186.485001,185.074997,185.365005,185.365005,282460000
19890316,185.365005,187.419998,185.134995,187.134995,187.134995,301360000
19890317,187.134995,187.134995,181.789993,182.009995,182.009995,278700000
19890320,182.009995,182.009995,178.964996,179.875000,179.875000,239680000
19890321,179.875000,182.235001,179.875000,182.039993,182.039993,247460000
19890322,182.039993,182.039993,180.195007,180.589996,180.589996,272760000
19890323,180.589996,181.645004,180.024994,181.039993,181.039993,298360000
19890327,181.039993,181.785004,180.360001,181.145004,181.145004,197680000
19890328,181.145004,182.570007,181.145004,182.014999,182.014999,225100000
19890329,182.014999,183.339996,181.664993,183.339996,183.339996,245920000
19890330,183.339996,184.460007,182.315002,184.365005,184.365005,231220000
19890331,184.365005,186.175003,184.365005,185.869995,185.869995,250020000
19890403,185.869995,186.785004,185.660004,185.830002,185.830002,245060000
19890404,185.830002,185.910004,184.449997,185.535004,185.535004,279180000
19890405,185.535004,186.244995,184.985001,186.089996,186.089996,241500000
19890406,186.089996,186.220001,185.009995,186.199997,186.199997,228080000
19890407,186.199997,188.595001,186.130005,188.399994,188.399994,267160000
